Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi,,
0.7,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0.1,0,0,0,,
0.71,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.72,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.73,-0.8,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
0.74,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.75,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.76,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.77,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.78,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.79,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
0.8,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.81,-0.8,-0.9,-0.8,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
0.82,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.83,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.84,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
0.85,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
0.86,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0.1,0,0,0,,
0.87,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
0.88,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,-0.1,0,0,0,,
0.89,-0.8,-0.9,-1,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.9,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
0.91,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,-0.1,,
0.92,-0.8,-1,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.93,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.94,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
0.95,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,-0.1,0,0,0,,
0.96,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
0.97,-0.8,-0.9,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
0.98,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
0.99,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
1.01,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.02,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.03,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.04,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.05,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.06,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.7,0,0,0,0,0,,
1.07,-0.7,-0.9,-0.9,-0.8,-1,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.08,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.09,-0.8,-1,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
1.1,-0.7,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,0,0,0,0,0,,
1.11,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.12,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
1.13,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
1.14,-0.7,-0.7,-0.9,-0.8,-0.9,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,0,0,0,0,0,,
1.15,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0,0,0,0,0,,
1.16,-0.7,-0.9,-0.9,-0.8,-0.9,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,0,0,0,0,0,,
