Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.540,-0.8,-0.7,-0.7,-0.6,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0.0,-0.0,-0.0,0.0,0.0
0.550,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,0.0,-0.0,-0.0
0.560,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.2,-0.0,0.0
0.570,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
0.580,-0.8,-0.7,-0.7,-0.7,-0.8,-0.9,-0.8,-0.7,-0.7,-0.6,-0.6,-0.0,0.0,0.0,-0.0,-0.0
0.590,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
0.600,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,-0.0,0.0,-0.0,0.0,0.0
0.610,-0.8,-0.7,-0.7,-0.7,-0.8,-0.6,-0.8,-0.8,-0.7,-0.6,-0.7,0.0,0.0,0.0,-0.0,-0.0
0.620,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
0.630,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.0,0.0,0.0,0.0,0.0
0.640,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.8,-0.6,-0.7,0.0,-0.0,0.0,-0.0,0.0
0.650,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
0.660,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,0.0,0.0
0.670,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,-0.0,0.0
0.680,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
0.690,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,0.1,-0.0,0.0
0.700,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
0.710,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0.0,-0.0,-0.0,0.0,0.0
0.720,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,-0.0,0.0
0.730,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,-0.0,0.0
0.740,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.0,-0.0,0.0,0.0,0.0
0.750,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,-0.0,-0.0,-0.0
0.760,-0.8,-0.7,-0.6,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,-0.0,0.0
0.770,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,0.0,0.0
0.780,-0.7,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.7,-0.0,0.0,-0.0,-0.0,0.0
0.790,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,-0.0,0.0
0.800,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,0.0,-0.0
0.810,-0.8,-0.7,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,0.0,-0.0,-0.0,0.0
0.820,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
0.830,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,0.0,-0.0,0.0
0.840,-0.8,-0.7,-0.8,-0.7,-1.0,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,0.0,0.0,-0.0,-0.0
0.850,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
0.860,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.0,0.0,-0.0,0.0,0.0
0.870,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
0.880,-0.7,-0.5,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,0.0,0.0,0.0
0.890,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,-0.0,-0.0,0.0
0.900,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,-0.0,0.0
0.910,-0.9,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
0.920,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,-0.0,-0.0,-0.0
0.930,-0.9,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,0.0,-0.1,0.0,-0.0,0.0
0.940,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
0.950,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,0.0,-0.0,-0.0
0.960,-0.8,-0.7,-0.8,-0.7,-0.7,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0.0,-0.0,0.0,0.0,0.0
0.970,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
0.980,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.6,-0.7,0.0,0.0,0.0,-0.0,-0.0
0.990,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0.0,-0.0,0.0,-0.0,0.0
1.000,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
1.010,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,0.0,-0.0,0.0,0.0
1.020,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,0.0,0.0,-0.0,0.0
1.030,-0.9,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,-0.0,0.0
1.040,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,-0.0,-0.0
1.050,-0.8,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,-0.0,0.0,0.0
1.060,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.0,0.0,-0.0,-0.0,0.0
1.070,-0.9,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
1.080,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,0.0,0.0,0.0
1.090,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0.0,0.0,0.0,-0.0,0.0
1.100,-0.9,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
1.110,-0.8,-0.7,-0.7,-0.7,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
1.120,-0.8,-0.7,-0.7,-0.7,-0.6,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,-0.0,-0.0,-0.0
1.130,-0.8,-0.7,-0.7,-0.7,-0.8,-0.6,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
1.140,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,-0.0,0.0
1.150,-0.8,-0.6,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.0,0.0,0.0,0.0,0.0
1.160,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,0.0,-0.0,0.0,0.0,-0.0
1.170,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,0.0,-0.0
1.180,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.8,-0.7,-0.7,0.0,0.0,0.0,-0.0,-0.0
1.190,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
1.200,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.0,0.0,-0.0,-0.0,0.0
1.210,-0.9,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,0.0,-0.0,0.0,0.0
1.220,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.0,-0.0,0.0,0.0,0.0
1.230,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.0,-0.0,-0.0,-0.0,0.0
1.240,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.1
1.250,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.0,-0.0,0.0,-0.0,0.0
1.260,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,0.0,-0.0,0.0
1.270,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,-0.0,-0.0
1.280,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.0,-0.0,0.0,0.0,0.0
1.290,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,0.0,-0.0,0.0
1.300,-0.9,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
1.310,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,0.0,0.0,0.0
1.320,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,0.0,0.0,0.0,0.0,-0.0
1.330,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.7,0.0,-0.0,0.0,-0.0,0.0
1.340,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,0.0
1.350,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.6,-0.7,-0.7,-0.7,-0.6,0.0,0.0,0.0,-0.0,-0.1
1.360,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.7,-0.0,-0.0,0.0,-0.0,0.0
1.370,-0.9,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,0.0,0.0,0.0
1.380,-0.9,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,0.0,0.0,0.0,-0.0
1.390,-0.8,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.0,-0.0,0.0,0.0,0.0
1.400,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.0,0.0,0.0,-0.0,0.0
1.410,-0.9,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
1.420,-0.8,-0.7,-0.7,-0.7,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.0,-0.0,-0.0,0.0,-0.0
1.430,-0.8,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6,-0.0,0.0,-0.0,-0.0,0.0
1.440,-0.9,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
