Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.74,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.75,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3,0,0,0,0,0
0.76,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.77,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,-0.1
0.78,-3.8,-3.6,-3.8,-3.5,-4,-3.7,-3.6,-3.5,-3.3,-3.2,-3,0,0,0,0,-0.1
0.79,-3.8,-3.6,-3.8,-3.5,-4,-3.7,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.8,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.81,-3.8,-3.6,-3.8,-3.5,-4.1,-3.6,-3.6,-3.4,-3,-3.2,-3,0,0,-0.1,0,0
0.82,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.83,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.84,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.85,-3.7,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.86,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3,0,0,0,0,0
0.87,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.88,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.89,-3.8,-3.6,-3.8,-3.6,-4.2,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.9,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.91,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.92,-3.6,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.1,-3,0,0,0,0,0
0.93,-3.8,-3.6,-3.9,-3.5,-4,-3.6,-3.5,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.94,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.5,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.95,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.96,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.97,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.98,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3,0,0,0,0,0
0.99,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.01,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.02,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.03,-3.8,-3.6,-3.8,-3.6,-4.1,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.04,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.05,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.06,-3.8,-3.6,-3.8,-3.5,-4.2,-3.6,-3.6,-3.5,-3.3,-3.2,-3,0,0,0,0,0
1.07,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.08,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.09,-3.8,-3.5,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
1.1,-3.6,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
