Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.690,-6.3,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,0.0,-0.0,-0.0,0.0
0.700,-6.1,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.710,-6.2,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.5,-5.3,-4.9,-0.0,-0.0,-0.0,0.0,0.0
0.720,-6.2,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,0.0,-0.0,0.0,0.0
0.730,-6.2,-7.5,-7.8,-7.4,-8.5,-6.9,-6.1,-5.7,-5.5,-5.3,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.740,-6.1,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,-0.0,0.0,0.0
0.750,-6.1,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,-0.0,0.0,0.0,0.0
0.760,-6.1,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.5,-5.3,-4.9,-0.0,-0.1,0.0,-0.0,-0.0
0.770,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,-0.0
0.780,-6.2,-7.5,-7.8,-7.4,-8.5,-6.9,-6.1,-5.7,-5.4,-5.2,-4.8,-0.0,0.0,-0.0,0.0,0.0
0.790,-6.2,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.7,-5.5,-5.2,-4.9,-0.0,0.0,0.0,-0.0,-0.0
0.800,-6.1,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,0.0,-0.0,-0.0,-0.0,0.0
0.810,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.1,-5.7,-5.4,-5.3,-4.8,-0.0,0.0,-0.0,0.0,0.0
0.820,-6.2,-7.5,-7.8,-7.5,-8.4,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,-0.0,-0.0,0.1,-0.0,0.0
0.830,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.8,-0.0,-0.0,-0.0,0.0,0.0
0.840,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,-0.0,0.0,0.0,-0.0
0.850,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,-0.0,0.0,-0.0
0.860,-6.2,-7.5,-7.9,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.3,-4.9,-0.0,0.0,-0.0,0.0,0.0
0.870,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.1,-5.6,-5.5,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.880,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.8,0.0,-0.0,-0.0,0.0,-0.0
0.890,-6.1,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.8,-0.0,-0.0,-0.0,-0.0,-0.0
0.900,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,0.0,-0.0,-0.0
0.910,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,-0.0
0.920,-6.1,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,-0.0,-0.0,-0.0,0.0,0.0
0.930,-6.2,-7.5,-7.8,-7.5,-8.6,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,0.0,-0.0,-0.0
0.940,-6.1,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,0.0
0.950,-6.2,-7.5,-7.8,-7.5,-8.6,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,-0.0,0.0,0.0,0.0,0.0
0.960,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.8,-0.0,-0.0,0.0,-0.0,-0.0
0.970,-6.1,-7.5,-7.8,-7.4,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,-0.0
0.980,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,-0.0,0.0,0.0,0.0
0.990,-6.2,-7.5,-7.8,-7.5,-8.5,-7.0,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,0.0
1.000,-6.1,-7.5,-7.8,-7.5,-8.6,-6.9,-6.0,-5.7,-5.5,-5.2,-4.8,0.0,0.0,-0.0,-0.0,0.0
1.010,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,-0.0,0.0,0.0,0.0
1.020,-6.2,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,0.0,-0.0,-0.0
1.030,-6.1,-7.5,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,0.0,0.0,-0.0,0.0
1.040,-6.2,-7.6,-7.8,-7.5,-8.5,-6.9,-6.1,-5.7,-5.5,-5.2,-4.9,-0.0,-0.0,-0.0,0.0,-0.0
1.050,-6.2,-7.6,-7.8,-7.5,-8.5,-6.9,-6.1,-5.7,-5.5,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,-0.0
1.060,-6.1,-7.6,-7.9,-7.5,-8.5,-6.9,-6.0,-5.7,-5.4,-5.2,-4.8,-0.0,0.0,0.0,-0.0,0.0
1.070,-6.2,-7.6,-7.8,-7.5,-8.5,-6.9,-6.0,-5.7,-5.5,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
